id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM714086_Control	0.0750023260542156	0	0.0668946082015537	0.0988238436855794	0	0.0407899158362089	0	0	0.049771789692379	0	0	0.0318540885980555	0.127383228517312	0.0799472928364308	0.0169698905176919	0.207595601658051	0	0	0.0697435993330256	0	0	0.135223815069497
GSM714087_Control	0.117956362225161	0	0.0720785948745103	0.0862910836306762	0.00744981322872421	0.0245022920047144	0	0	0.0343732750314756	0	0.0455912763448002	0	0.081820817541692	0.0114306379160237	0.0319483991256956	0.282874799477395	0.00442395045579684	0	0.0512971841196208	0	0	0.147961514023714
GSM714088_Control	0.100201689461442	0	0.046974172361279	0.11206664276394	0	0.0958227854062413	0	0.0138228885958066	0.0326531670185436	0	0	0.057693613868202	0.0604600451596375	0	0.0491575165198083	0.30168087859904	0.0179012378346623	0	0.0847264940197274	0	0	0.0268388683916696
GSM714089_Control	0.0617731928005063	0	0.0496735322739212	0.0983610336801984	0	0.149020383756745	0	0	0.0890576625208608	0	0.00442806212077073	0.0256311681299253	0.0865201610011254	0	0.0143396198103993	0.306113818044945	0	0.0286377628418736	0.0795556078642122	0	0	0.00688799515451654
GSM714090_Control	0.0721132426457579	0	0.0361669610649512	0.0856577036930247	0	0.0954333249756169	0	0	0.0482956044848762	0	0	0.0373956406775155	0.0609692096056318	0	0.0195507826183804	0.370640645284322	0	0.0197112842222338	0.129630174138598	0	0	0.0244354265890924
GSM714092_Control	0.0821607552505132	0	0.0449233451172295	0.159194532700434	0	0.105191371848604	0	0.00637728799074207	0.11486785544007	0	0.00573456427065809	0	0.0394507682638799	0	0.0219204144020003	0.335005985140546	0.00867917201582498	0	0	0.0667464288663872	0	0.00974751869311067
GSM714093_Control	0.0888819246739345	0	0.0324517953684199	0.125999334249277	0	0.0532860092524431	0	0	0.0457698214304928	0	0	0.0416308000255149	0.0367765956313252	0	0.0125733328456789	0.342472971246613	0.0168162740228504	0.00465877173159588	0.192556245028886	0	0	0.00612612449296805
GSM714094_Control	0.0884041171929275	0	0.0455508555976526	0.092830447208617	0	0.148014757618373	0	0	0.0379330198767162	0	0	0.0412660780881795	0.068366583262108	0	0.00940683669381161	0.29236761240408	0.0134612323846525	0.0100209868598411	0.152377472813041	0	0	0
GSM714095_Control	0.0636147765081662	0	0.0923940500071847	0.110645863793952	0	0.113578982772623	0	0	0.0620421446298171	0	0	0.0419019185586136	0.09760619189824	0	0.0129088562328377	0.317078481812629	0.0193775632027717	0	0.0540708978000048	0	0	0.0147802727831604
GSM714096_Control	0.0294960303259565	0	0.107066720341602	0.10723451632479	0	0.125918134347081	0.0199694507802101	0	0	0	0	0.00887661667078349	0.0169198251495198	0.129816428312115	0.0100852146254087	0.296223628983825	0.012164035214462	0.00902014535733344	0.120325529860738	0	0	0.00688372370617524
GSM714097_Control	0.102380344489843	0	0.0663264802484583	0.0919741888803734	0	0.0889245836563202	0	0	0.0991772755917945	0	0	0.0395839841781146	0.0607704292172869	0.00966945215845095	0.0392702496154096	0.3166953758209	0.00740700629865703	0	0.0729356096578893	0	0	0.00488502018650306
GSM714098_Control	0.119231090728667	0	0.0507769257500186	0.185757196005211	0	0.00192042624209565	0	0	0.0760464033575362	0	0	0.0585699249651953	0.0866376271064118	0	0.0772895248322332	0.257715186109876	0.0253698022372846	0	0.0606858926654704	0	0	0
GSM1060117_Control	0.0322971085749048	0	0.0664628375547703	0.0904172816529909	0	0.124070476022142	0	0	0.0117268157101632	0	0	0.00568143198276987	0.115545000876526	0.0875744590185167	0.00723718836025438	0.32807771745342	0	0.00666739992423852	0.0849894387215287	0	0	0.0392528441477741
GSM1060119_Control	0.106248463359929	0	0.0356034181773751	0.114763641221782	0	0.0702166680955379	0.00349844020929635	0	0.0486901837014906	0	0	0.0114396965500394	0.0349242727678242	0.0798177650171164	0.0168831899160625	0.394639661581934	0	0.00164784573422607	0.0816267536673859	0	0	0
GSM1060125_Control	0.0335514555384111	0	0.0482528907940688	0.114403915090644	0	0	0	0	0.0737960390155459	0	0	0.0241872513131563	0.0231551111771482	0.225213883518416	0.00598184088381578	0.381144130012174	0	0	0.0672929220695227	0	0	0.00302056058709667
GSM1060127_Control	0.136697726673294	0	0.0440077512319894	0.096048451971086	0	0.0614468354745723	0	0	0.0784943428911652	0	0	0.0507151341451986	0.0451566040195988	0.0368756433818668	0.0202938562463095	0.363357712979749	0	0	0.0639873606003846	0	0	0.00291858038478558
GSM1060129_Control	0.0614218312319481	0	0.0442913278501776	0.173243337857156	0	0.110638360332418	0	0	0.0833917230812189	0	0	0.0285254152498429	0.0574776890415832	0.0183809518532772	0.0202377098576674	0.328981159493786	0	0	0.0666560957018156	0	0	0.0067543984491089
GSM1060131_Control	0.058913980516473	0	0.0917739974404156	0.166385527159625	0	0.0636785821974261	0	0	0.0215295712127258	0	0	0.0297255870782484	0.0365635234529824	0.00537225447001437	0.0202839616038955	0.394425582527266	0	0.00766386467694658	0.0972023023507469	0	0	0.00648126531323408
