geneNames	GSM161945	GSM161946	GSM161948	GSM161949	GSM161950	GSM161951	GSM161952	GSM161953	GSM161954	GSM161955	GSM161956	GSM161957	GSM161958	GSM161959	GSM161960	GSM161961	GSM161962	GSM161963	GSM161964	GSM161965	GSM161966	GSM161967	GSM161968	GSM161969	GSM161970	GSM161971
HSPA12B	165.584	180.821	187.025	168.279	188.631	171.628	184.176	217.847	190.634	188.042	205.03	204.861	174.312	162.059	189.244	191.95	148.269	148.03	172.235	162.11	180.085	213.056	133.291	144.455	217.238	204.184
HSPA13	118.4745	110.61605	115.06035	143.4975	114.8965	104.51225	127.4065	182.16	122.78775	97.07195	100.7954	87.93655	132.761	120.026	102.1785	139.4225	145.3225	116.9115	89.3502	155.914	230.9235	175.6815	266.875	266.518	34.0895	113.27595
HSPA14	217.8051	214.6782	223.3129667	253.025	198.7236667	214.5183333	210.884	275.169	205.47	220.3453333	194.8753333	193.7303333	215.3356667	209.7606667	216.1105667	266.7773333	210.4893333	212.999	198.188	262.7656667	266.982	264.809	262.791	259.238	109.3016	192.714
HSPA1L	244.2935	214.386	223.664	250.0555	242.135	240.267	249.5025	230.433	221.8775	263.105	260.2095	242.703	281.32	274.4355	291.752	262.6385	249.2985	267.555	240.189	252.8405	419.4	197.6535	275.192	295.917	274.4415	274.5245
HSPA2	4827.26	6610.7	2121.92	5414.84	3499.61	4389.04	4483.39	4841.85	4023.08	3731.61	5472.34	5570.67	6074.73	5163.13	5021.21	6060.29	5940.3	5874.3	5747.95	6393.02	1307.31	526.84	1433.62	1352.85	778.428	2896.64
HSPA4	616.3705	485.34325	337.692	633.79375	421.34675	344.27925	564.9005	554.1235	312.10575	437.7295	331.69875	479.73125	599.59825	383.9895	364.8555	494.97825	473.659825	501.59325	409.9905	528.4315	1573.2395	461.73225	509.89275	491.25425	80.394925	352.64325
HSPA4L	145.889	141.411	151.22	132.722	166.566	143.988	144.059	152.336	164.668	166.769	152.387	181.555	143.437	151.861	173.759	126.653	110.478	121.035	151.46	130.036	132.777	138.95	154.504	154.669	158.124	172.879
HSPA5	1129.2625	994.941	789.2785	827.2565	1060.1665	741.106	873.7845	1213.742	878.3305	1083.798	1114.252	746.2605	850.746	786.748	905.8615	872.363	1177.1255	972.611	629.805	848.217	1369.422	2554.716	865.2915	907.4135	264.7675	753.51
HSPA6	222.4095	211.2125	239.3045	215.1425	211.0225	206.7375	214.0785	222	204.313	209.288	222.2575	214.5435	211.232	226.1945	221.3085	215.944	228.039	207.4195	215.434	228.2875	189.4595	216.5715	236.2565	226.0465	216.626	231.2435
HSPA9	1147.820375	1329.561175	1157.37885	1167.002025	1316.561	1064.7879	1256.0653	1366.777075	1340.29575	1514.442975	1590.256	1096.52285	1218.390525	1207.572175	1280.794625	1272.58785	1159.3579	1095.40255	1084.05145	1294.85195	2235.224875	1319.89295	993.8017	1029.889375	205.35275	1057.346025
HSPB1	11521.2	11372.7	8058.65	12919.1	13428.1	13117.2	12404.5	14598.5	13667	12548.2	11389.9	11604	12772.2	12944.8	10339.5	11114.6	17471.6	10746.6	13674	12872.7	23269.6	10808.6	14664.7	14840.3	14279.6	11463.6
HSPB11	168.8373667	171.8174333	148.2478667	141.359	152.2385333	149.1835	185.4836667	200.6406667	158.5753	128.7019333	130.4554	143.2137667	170.3830667	175.4672667	157.8649	173.3187	132.6576333	159.7615333	144.1374667	192.8027667	119.4341333	134.5752333	124.9749	110.9339667	70.17346667	126.2399333
HSPB2	2561.61	2366.29	2360.74	2978.7	2743.5	1963.75	2735.01	2858.87	2273.45	2002.48	1643.51	2848.77	2945.1	3324.7	3318.72	3417.04	2951.48	3261.77	2617.04	3092.13	834.732	1100.1	1731.61	1662.04	2207.99	2300.31
HSPB3	7048.76	5977.74	6039.84	6213.12	6044.69	6355.88	6037.51	6260.81	5816.52	4994.24	3964.7	5250.26	5669.17	5669.27	6291.18	5737.08	5869.26	6239.03	5813.33	5259.88	2171.11	2300.68	4759.95	4274.39	1096.94	3472.93
HSPB6	4566.37	4386.105	2545.921	4341.235	5522.02	4000.6	4509.95	2774.815	3388.49	3502.515	2948.59	2920.3075	4087.85	3978.21	4735.645	4568.025	4055.025	4087.14	3300.135	3847.035	1499.8345	2256.0495	3080.315	2369.9045	7336.64	5702.315
HSPB7	4958.03	5751.39	3892.19	4109.72	6642.4	5109.42	4624.52	6377.17	4662.35	5524.78	5614.6	6694.96	5395.44	5633.51	6322.06	5773.27	7543.72	6839.59	5582.46	5495.37	10881.8	5317.49	2910.9	2643.12	7616.72	6909.6
HSPB8	3293.274	3216.1225	3956.2745	4250.3695	3207.357	3916.7085	3715.8375	4441.242	3543.6605	2834.654	3185.9805	3601.738	3633.107	3183.107	3363.628	3662.506	4979.589	3051.6385	3006.834	3932.8505	5751.494	4133.9895	3679.032	3488.6915	2482.833	3467.128
HSPB9	120.254	115.983	122.995	127.259	100.456	149.739	145.093	111.608	112.027	125.092	132.867	138.582	108.304	101.725	96.2982	119.196	137.074	135.796	118.398	104.264	103.658	102.505	133.943	108.953	150.584	120.404
HSPBAP1	302.728	182.151	181.11	258.431	155.209	172.332	244.021	203.714	212.236	206.082	260.934	172.934	228.877	174.981	307.999	206.972	164.566	307.725	386.72	247.35	449.191	892.561	237.606	237.318	52.9367	207.991
HSPBP1	302.309	325.441	338.885	338.552	299.59	332.923	334.768	330.959	308.194	397.182	335.754	306.028	394.266	368.79	360.962	394.353	392.249	393.639	390.268	415.818	382.633	424.929	420.11	392.875	582.377	501.057
HSPD1	2469.05	2632.915	1940.263	2075.48	2686.305	1899.5805	2887.84	2346.17	2924.76	3438.67	2868.83	2019.484	2328.005	2691.935	2555.96	2822.04	2502.17	2345.21	2102.818	2379.995	4527.47	3363.645	4352.24	4277.455	264.4895	1737.5765
HSPE1	2142.79	2593.57	1878.71	1890.74	2241.1	1575.64	2297.39	2040.23	2231.36	2669.5	2774.09	1871.13	2014	1997.35	1907.15	2285.92	2613.18	1863.86	1835.76	1931.83	4036.08	2781.86	3997.92	4172.42	346.379	2119.02
